dart0,  430.0000,  10.0000,   175.0000,   175.0000
dart1,  200.0000,  130.0000,   190.0000,   190.0000
dart2,  100.0000,  90.0000,   110.0000,   110.0000
dart3,  320.0000,  150.0000,   80.0000,   80.0000
dart4,  170.0000,  80.0000,   180.0000,   200.0000
dart5,   430.0000,  140.0000,   100.0000,   100.0000
dart6,   210.0000,  110.0000,   70.0000,   70.0000
dart7,   250.0000,  160.0000,   110.0000,   150.0000
dart8,   60.0000,  240.0000,   70.0000,   120.0000
dart8,   850.0000,  210.0000,   130.0000,   130.0000
dart9,  200.0000, 60.0000,   220.0000,   220.0000
dart10,  95.0000, 100.0000,   90.0000,   110.0000
dart10,  580.0000, 120.0000,   70.0000,   95.0000
dart10,  920.0000, 140.0000,   40.0000,   80.0000
dart11,  160.0000, 100.0000,   80.0000,   70.0000
dart12,  150.0000, 70.0000,   65.0000,   130.0000
dart13,  270.0000, 120.0000,   140.0000,   140.0000
dart14,  130.0000, 100.0000,   120.0000,   120.0000
dart14,  985.0000, 95.0000,   120.0000,   120.0000
dart15,  150.0000, 60.0000,   125.0000,   125.0000
